placeid,lat,lon,drogerie
ChIJDTAAbE5NqEcRn9fBsSwhZaM,52.6163335,13.4718517,dm
ChIJSZqsbk5NqEcRQr0WA5sD3eE,52.615896,13.471762,dm
ChIJu3wf8CazqUcRuqq4gzxWYiU,52.6293103,13.5294837,dm
ChIJYdKLpWlUqEcRzmyJWVXVncE,52.585305,13.286742,dm
ChIJoVkhWuxTqEcRNGhFXho49Yc,52.570373,13.329935,dm
ChIJgcFYBfZLqEcRWJZjz1DAJ48,52.544163,13.544122,dm
ChIJK0uK12tSqEcRNiS_KW-mwoI,52.570143,13.404926,other
ChIJu9ovpehTqEcRJ5oOaoXOn7Y,52.5628077,13.3286935,dm
ChIJP_Zc5CNSqEcRJK4QGsERHbw,52.55141,13.38435,dm
ChIJBfKHBgg9qUcRpEpx_1PLrSk,52.9149968,12.8024734,dm
ChIJtwekwf88qUcR6MfEGjwiB7k,52.9157914,12.7888025,other
ChIJvfaU1wVSqEcRrRjOmeMpzwY,52.5498848,13.4146267,dm
ChIJ0UsivQZSqEcRGUTEzqlifSw,52.54949,13.415415,dm
ChIJwc_tVf1QqEcR7R1rCrCMZOg,52.5505984,13.4340585,dm
ChIJq5SuBY9LqEcRPncdqYGh-FE,52.5556572,13.5590494,dm
ChIJmTN4N2NOqEcRWTaliAH0brc,52.5253214,13.4660579,dm
ChIJMeO93Zz5qEcR9b6W7eD-ucE,52.535578,13.060856,dm
ChIJT0zfXF9JqEcRkAWLGtFAlEQ,52.5247745,13.5576533,dm
ChIJU6R-BdEKqUcRuwheCcKfpB4,52.97981,13.33248,other
ChIJP0amoNAKqUcRiOpbT82y2q4,52.97678,13.32937,other
ChIJuZyiJG00qEcRSqyT6rYD4FM,52.5240808,13.7625815,other
ChIJf86JVeEyqEcRpnN4Pfi3eKs,52.549147,13.86377,dm
ChIJIwhoXZ1UqEcRM69w7Ou6mAs,52.60763,13.32471,other
ChIJxbV0Pzu5qUcRF7AyFIxdBqk,52.83831,13.73558,other
ChIJH5WUelNMqEcRU4ybEP-5OnM,52.5699797,13.4961501,dm
ChIJ9Uzk8H9RqEcRbcZ9qNdRODA,52.5477074,13.3573961,other
ChIJpQKYiMQ1qEcRUjsC6TlWBiA,52.52256,13.69575,other
ChIJccw742w0qEcRmZ7QH6o0t8M,52.525153,13.761864,dm
ChIJKTa1niJSqEcRRQ1I5C8KARM,52.5538522,13.3915619,other
ChIJb5seNv7ZqUcRen9aS3EFiH0,52.71926,14.13698,other
ChIJF0kHWRxCuEcRGdqnITmCTAo,52.07439,7.007309,dm
ChIJP4br5ClvuEcRr0_Qsjaw-y0,52.035356,6.833472,dm
ChIJG2oif_j1t0cRp6WLjkzklKo,52.4980112,6.9676351,other
ChIJZye3vpBBuEcRpSVPGKfhDZQ,52.0834087,7.0019915,other
ChIJxVeFWzLFuUcRBLazQdCqQ1E,52.27687,7.71523,dm
ChIJWcYHpZbluUcRhMpwfzhjseM,52.274691,8.045874,dm
ChIJQ2km-aDluUcR9sE9DkbiFjU,52.28116,8.066465,dm
ChIJCefEryHmuUcROLGDvjWcvmA,52.2738229,7.9143183,other
ChIJ8SOn6sjluUcRcLk-teivXcY,52.292242,8.0378,dm
ChIJD0m286RKuEcRTD6MxFSuc84,52.1213292,7.3931599,dm
ChIJB9psXjOGt0cRDQcSSgNmGqA,52.5207007,7.3169257,dm
ChIJJVyPXsUhuEcRPy8QEzudFUk,52.438349,7.06381,dm
ChIJyYfsIB_CuUcRCM4mC3z9P0I,52.18984,7.8494801,other
ChIJjQe8CDE7uEcRjdFiF8ZgmAc,52.3053897,7.1533294,dm
ChIJBc8nZgtIZUEREgA2GDO9jhU,52.29348,8.01737,dm
ChIJ_8A37YtIZUER-oAIK8akJ5A,52.27053,8.031214,dm
ChIJY1uLC2HluUcRwDo3NHwsDAo,52.258009,8.084513,dm
ChIJpXBGYPc-uEcRRMUrSVaWsOk,52.20414,7.05277,dm
